metric,Block_Id,Terr_Id,report_dt,val
universalis,Тета,E-854,9/30/2018,25362.97733
universalis,Тета,E-854,8/31/2018,26485.2644
universalis,Тета,E-854,7/31/2018,27108.97807
universalis,Тета,D-602,4/30/2015,28811.74523
universalis,Тета,B-935,4/30/2014,29738.5261
universalis,Тета,D-602,3/31/2015,30611.41957
universalis,Тета,B-935,3/31/2014,31162.76786
universalis,Тета,D-602,5/31/2015,32116.27164
universalis,Тета,B-935,5/31/2014,32818.77705
universalis,Тета,B-935,6/30/2014,34597.38044
universalis,Тета,D-602,6/30/2015,35520.12059
universalis,Тета,B-935,9/30/2014,36439.3385
universalis,Тета,B-935,10/31/2014,38473.88352
universalis,Тета,F-943,4/30/2014,39280.87511
universalis,Тета,D-602,8/31/2015,39429.88631
universalis,Тета,F-943,3/31/2014,39519.97687
universalis,Тета,B-935,11/30/2014,39612.80816
universalis,Тета,B-935,7/31/2014,39852.51238
universalis,Лямбда,F-850,8/31/2014,40479.41452
universalis,Лямбда,F-850,6/30/2014,40766.29573
universalis,Тета,D-602,9/30/2015,40854.54772
universalis,Лямбда,F-850,7/31/2014,41214.45807
universalis,Лямбда,F-850,4/30/2014,41407.61726
universalis,Лямбда,F-850,9/30/2014,41645.75085
universalis,Тета,B-935,8/31/2014,41831.01942
universalis,Лямбда,F-850,3/31/2014,42224.3962
universalis,Тета,D-602,7/31/2015,42478.41991
universalis,Тета,D-602,11/30/2015,42959.61941
universalis,Лямбда,F-850,5/31/2014,43639.12353
universalis,Тета,D-602,2/28/2016,45224.47818
universalis,Тета,D-602,10/31/2015,45426.1538
universalis,Тета,F-943,6/30/2014,45897.17343
universalis,Лямбда,F-850,10/31/2014,46034.79816
universalis,Тета,F-943,5/31/2014,46128.15374
universalis,Тета,D-602,1/31/2016,46513.44058
universalis,Эта,A-870,4/30/2014,46589.8888
universalis,Лямбда,A-969,4/30/2014,46699.95416
universalis,Эта,A-870,3/31/2014,47302.86524
universalis,Лямбда,A-969,3/31/2014,47649.85229
universalis,Тета,B-935,4/30/2015,48206.16861
universalis,Лямбда,F-850,11/30/2014,48824.06669
universalis,Тета,F-943,7/31/2014,50664.93818
universalis,Тета,B-935,5/31/2015,50766.00991
universalis,Тета,F-943,9/30/2014,51222.068
universalis,Тета,C-678,4/30/2014,51318.13983
universalis,Тета,F-943,11/30/2014,51464.3089
universalis,Эта,A-870,9/30/2014,51623.23743
universalis,Тета,D-602,12/31/2015,51869.15736
universalis,Эта,A-870,5/31/2014,52217.86964
universalis,Тета,B-935,12/31/2014,52266.99763
universalis,Тета,B-935,1/31/2015,53313.49237
universalis,Лямбда,A-969,5/31/2014,53913.92576
universalis,Тета,B-935,3/31/2015,54094.16382
universalis,Тета,B-935,2/28/2015,54160.4665
universalis,Лямбда,A-969,6/30/2014,54228.86015
universalis,Тета,B-935,6/30/2015,54368.77192
universalis,Тета,F-943,10/31/2014,54524.94203
universalis,Тета,F-943,2/28/2015,54693.36927
universalis,Тета,C-678,3/31/2014,54840.53891
universalis,Тета,D-602,6/30/2016,54897.81246
universalis,Лямбда,F-850,7/31/2015,55379.16533
universalis,Тета,C-678,6/30/2014,55704.21166
universalis,Лямбда,F-850,1/31/2015,55861.00389
universalis,Тета,F-943,8/31/2014,56159.94411
universalis,Тета,E-938,4/30/2014,56209.71047
universalis,Тета,C-678,5/31/2014,56550.46791
universalis,Лямбда,F-850,8/31/2015,56960.18031
universalis,Лямбда,F-850,2/28/2015,56977.39251
universalis,Тета,A-876,4/30/2014,58257.49806
universalis,Тета,D-602,3/31/2016,58276.92649
universalis,Лямбда,A-969,9/30/2014,58317.05843
universalis,Тета,F-943,1/31/2015,58320.61482
universalis,Лямбда,A-969,7/31/2014,59234.61034
universalis,Тета,D-602,4/30/2016,59283.09489
universalis,Тета,B-935,10/31/2015,59350.17654
universalis,Лямбда,A-969,8/31/2014,59379.11897
universalis,Тета,B-935,9/30/2015,59764.47412
universalis,Тета,F-943,3/31/2015,59947.41386
universalis,Эта,A-870,6/30/2014,59955.18465
universalis,Тета,D-602,8/31/2016,59956.66359
universalis,Лямбда,F-850,6/30/2015,59989.54339
universalis,Тета,F-943,4/30/2015,60454.34236
universalis,Лямбда,F-850,5/31/2015,60491.46154
universalis,Тета,A-876,3/31/2014,60721.48474
universalis,Эта,A-870,11/30/2014,60830.69996
universalis,Тета,C-678,9/30/2014,60834.53425
universalis,Лямбда,F-850,9/30/2015,61410.10644
universalis,Тета,E-938,3/31/2014,61459.80038
universalis,Тета,B-935,11/30/2015,61637.2947
universalis,Тета,B-935,7/31/2015,61910.03845
universalis,Тета,D-602,5/31/2016,62261.96654
universalis,Эта,A-870,10/31/2014,62838.43293
universalis,Лямбда,A-969,10/31/2014,63560.97781
universalis,Лямбда,A-969,11/30/2014,63626.32332
universalis,Тета,C-678,7/31/2014,63631.86492
universalis,Тета,F-943,5/31/2015,64526.32153
universalis,Тета,D-602,9/30/2016,64715.386
universalis,Тета,B-935,8/31/2015,65241.06288
universalis,Эта,A-870,7/31/2014,65411.41815
universalis,Эта,A-870,8/31/2014,65570.11669
universalis,Лямбда,F-850,4/30/2015,65578.45782
universalis,Тета,F-943,12/31/2014,65597.76815
universalis,Лямбда,F-850,3/31/2015,65890.64046
universalis,Тета,A-876,6/30/2014,66410.0146
universalis,Эта,A-870,2/28/2015,66459.88949
universalis,Тета,A-876,5/31/2014,66620.63917
universalis,Тета,C-678,11/30/2014,67204.21165
universalis,Тета,D-602,7/31/2016,67478.49358
universalis,Тета,E-938,5/31/2014,67537.69498
universalis,Тета,C-678,10/31/2014,67577.6859
universalis,Лямбда,A-969,2/28/2015,67584.75019
universalis,Тета,D-602,10/31/2016,67814.72202
universalis,Лямбда,F-850,10/31/2015,67961.83243
universalis,Лямбда,F-850,12/31/2014,68418.06981
universalis,Эта,A-870,1/31/2015,68834.55835
universalis,Тета,E-938,6/30/2014,69382.21526
universalis,Тета,F-943,6/30/2015,69968.01603
universalis,Лямбда,F-850,11/30/2015,70108.53029
universalis,Лямбда,A-969,1/31/2015,70454.894
universalis,Тета,D-602,11/30/2016,70668.96921
universalis,Тета,A-917,4/30/2014,70821.54145
universalis,Лямбда,F-850,1/31/2016,71811.19877
universalis,Тета,A-917,3/31/2014,72125.25971
universalis,Тета,D-602,2/28/2017,72161.24029
universalis,Тета,D-602,1/31/2017,72436.28059
universalis,Тета,C-678,8/31/2014,72763.39042
universalis,Тета,F-943,11/30/2015,73235.41141
universalis,Тета,A-876,9/30/2014,73477.17741
universalis,Тета,A-876,7/31/2014,73809.14211
universalis,Тета,F-943,7/31/2015,74197.43184
universalis,Тета,F-943,9/30/2015,74850.63671
universalis,Эта,A-870,12/31/2014,74877.77114
universalis,Тета,E-938,9/30/2014,75340.48062
universalis,Тета,F-943,2/28/2016,75583.04008
universalis,Лямбда,A-969,4/30/2015,75631.28252
universalis,Тета,A-917,9/30/2014,75743.92471
universalis,Тета,F-943,10/31/2015,76673.3499
universalis,Тета,A-917,5/31/2014,76975.72651
universalis,Тета,B-935,4/30/2016,77007.01492
universalis,Тета,A-876,11/30/2014,77859.70129
universalis,Лямбда,F-850,7/31/2016,77871.57115
universalis,Лямбда,F-850,2/28/2016,78011.91549
universalis,Лямбда,A-969,3/31/2015,78048.55493
universalis,Эта,A-870,4/30/2015,78601.05107
universalis,Тета,E-938,11/30/2014,78877.42438
universalis,Эта,A-870,5/31/2015,78985.89692
universalis,Лямбда,A-969,5/31/2015,79146.63044
universalis,Лямбда,F-850,8/31/2016,79185.22569
universalis,Тета,F-943,8/31/2015,79267.77475
universalis,Тета,C-678,2/28/2015,79283.00229
universalis,Тета,A-917,11/30/2014,79394.62242
universalis,Эта,A-870,3/31/2015,79604.79527
universalis,Тета,A-876,8/31/2014,79636.37435
universalis,Лямбда,F-850,6/30/2016,79971.4453
universalis,Тета,D-602,4/30/2017,80211.97088
universalis,Тета,E-938,7/31/2014,80895.76395
universalis,Тета,A-876,10/31/2014,81007.68089
universalis,Лямбда,A-969,12/31/2014,81841.26031
universalis,Тета,E-938,10/31/2014,81933.01326
universalis,Тета,F-943,1/31/2016,81946.08305
universalis,Тета,B-935,5/31/2016,82165.2575
universalis,Тета,C-678,4/30/2015,82230.17865
universalis,Тета,D-602,5/31/2017,83322.82279
universalis,Тета,B-935,3/31/2016,83542.42229
universalis,Лямбда,F-850,9/30/2016,83790.70356
universalis,Тета,B-935,6/30/2016,83926.88304
universalis,Тета,C-678,1/31/2015,83944.37987
universalis,Тета,A-917,10/31/2014,84344.58063
universalis,Тета,D-602,9/30/2017,84477.85992
universalis,Тета,A-917,6/30/2014,84569.61767
universalis,Лямбда,F-850,5/31/2016,84652.84295
universalis,Тета,C-678,5/31/2015,85041.54475
universalis,Тета,B-935,2/28/2016,85108.75682
universalis,Тета,C-678,12/31/2014,85144.21973
universalis,Тета,A-876,2/28/2015,85240.47218
universalis,Тета,D-602,12/31/2016,85383.20064
universalis,Лямбда,A-969,6/30/2015,85602.53191
universalis,Тета,B-935,12/31/2015,85670.96402
universalis,Тета,B-935,1/31/2016,86767.70676
universalis,Тета,D-602,8/31/2017,87033.94005
universalis,Тета,D-602,7/31/2017,87065.41745
universalis,Тета,E-938,8/31/2014,87080.58951
universalis,Тета,D-602,2/28/2018,87281.65987
universalis,Тета,F-943,3/31/2016,88179.57352
universalis,Тета,A-917,8/31/2014,88443.41844
universalis,Тета,E-938,2/28/2015,88485.81051
universalis,Лямбда,F-850,4/30/2016,88591.78849
universalis,Тета,E-938,1/31/2015,88629.72578
universalis,Тета,F-943,4/30/2016,89206.9525
universalis,Лямбда,A-969,9/30/2015,89212.85512
universalis,Тета,C-678,6/30/2015,89349.22043
universalis,Тета,D-602,3/31/2017,89355.52368
universalis,Тета,D-602,6/30/2017,89835.15962
universalis,Тета,A-876,1/31/2015,90192.94271
universalis,Тета,F-943,12/31/2015,90396.40297
universalis,Лямбда,F-850,10/31/2016,90611.75236
universalis,Тета,A-917,1/31/2015,91175.61148
universalis,Тета,C-678,3/31/2015,91928.39855
universalis,Лямбда,A-969,7/31/2015,92397.70981
universalis,Тета,A-876,3/31/2015,92854.07422
universalis,Тета,B-935,7/31/2016,93195.52408
universalis,Тета,B-935,9/30/2016,93490.08507
